200708310310	0.4489	0.021766
200709010310	0.4624	0.022457
200709020310	0.4624	0.022943
200709030310	0.4624	0.022742
200709040310	0.4624	0.022702
200709050310	0.5041	0.023822
200709060310	0.4900	0.023553
200709070313	0.5041	0.023655
200709080315	0.4900	0.023881
200709090315	0.4900	0.023891
200709100315	0.4489	0.021412
200709110331	0.4356	0.020726
200709120335	0.4624	0.020705
200709130336	0.4624	0.021060
200709140336	0.5041	0.021450
200709150337	0.5041	0.021420
200709160338	0.5184	0.020985
200709170404	0.5184	0.022214
200709180404	0.5329	0.022820
200709190404	0.5476	0.022659
200709200404	0.5476	0.022980
200709210404	0.5329	0.022986
200709220404	0.5476	0.023456
200709230406	0.5625	0.023630
200709240406	0.5329	0.023700
200709250406	0.5329	0.024206
200709260408	0.5476	0.024211
200709270408	0.5476	0.024243
200709280409	0.5476	0.024824
200709290409	0.5625	0.024990
200709300515	0.5476	0.025240
200710010516	0.5184	0.024504
200710020517	0.5184	0.024392
200710030517	0.5041	0.023549
200710040518	0.4900	0.023287
200710050518	0.5041	0.024777
200710060518	0.5184	0.026279
200710070519	0.5041	0.025995
200710080520	0.5184	0.027407
200710090520	0.5184	0.026820
200710100521	0.5184	0.027582
200710110521	0.5184	0.028318
200710120521	0.5184	0.028952
200710130522	0.5041	0.029182
200710140522	0.4900	0.028770
200710150523	0.4761	0.028133
200710160525	0.4624	0.028520
200710170526	0.4489	0.027613
200710180526	0.4356	0.027213
200710190527	0.4624	0.027525
200710200538	0.4761	0.027414
200710210538	0.4624	0.027459
200710220538	0.4489	0.026676
200710230538	0.4489	0.026916
200710240538	0.4624	0.026864
200710250538	0.4489	0.026122
200710260538	0.4356	0.025973
200710270538	0.4356	0.025968
200710280538	0.4225	0.025243
200710290538	0.4356	0.025015
200710300538	0.4761	0.024860
200710310539	0.4900	0.024350
200711010539	0.5041	0.024397
200711020539	0.4900	0.024485
200711030539	0.5041	0.024110
200711040539	0.5041	0.023403
200711050540	0.5041	0.022805
200711060541	0.5184	0.023294
